,name,link,employer,sal_min,sal_max,sal_cur
101,Data Scientist / Senior Data Scientist (Python),https://hh.ru/vacancy/37887280?query=data%20scientist, McKinsey & Company,,,
102,Data Scientist (to Canada),https://hh.ru/vacancy/37891234?query=data%20scientist, Star-staff,,,
103,Product Data Analyst,https://hh.ru/vacancy/37479004?query=data%20scientist, Miro,,,
104,Senior data scientist,https://hh.ru/vacancy/37855940?query=data%20scientist, TalentTech,,,
105,Data Scientist (EY Technology),https://hh.ru/vacancy/37624725?query=data%20scientist, EY (Эрнст энд Янг),,,
106,"Главный специалист направления операционной отчетности (Аналитик SQL, Data Scientist)",https://hh.ru/vacancy/37903328?query=data%20scientist," «Почта России», Офис",,,
107,Data engineer,https://hh.ru/vacancy/37742221?query=data%20scientist,АО Газпромбанк,,,
108,Team Lead Data Scientist (Surge Pricing),https://hh.ru/vacancy/37457846?query=data%20scientist, Ситимобил,,,
109,Системный архитектор,https://hh.ru/vacancy/37445845?query=data%20scientist, 2050.Digital,,,
110,Data Scientist (Computer Vision),https://hh.ru/vacancy/37840311?query=data%20scientist,"ПАО «МТС»,IT",,,
111,Project Manager/ Data Analyst (FinTech),https://hh.ru/vacancy/37875330?query=data%20scientist, Recruitment Boutique S.M.Art,,,
112,Middle Data Engineer,https://hh.ru/vacancy/37859453?query=data%20scientist, АШАН Ритейл Россия,,,
113,Customer Success Manager,https://hh.ru/vacancy/37912975?query=data%20scientist, SegmentStream,,,
114,Senior Data Scientist NLP,https://hh.ru/vacancy/37821608?query=data%20scientist, Сбербанк для экспертов,,,
115,Аналитик / data scientist,https://hh.ru/vacancy/37807324?query=data%20scientist, Банк Открытие,,,
116,Data Scientist,https://hh.ru/vacancy/37798237?query=data%20scientist,ООО Эйай Скин Лабс,,,
117,Риск-аналитик отдела андеррайтинга,https://hh.ru/vacancy/37887775?query=data%20scientist," АБСОЛЮТ, Группа",,,
118,Специалист по машинному обучению / Чат-бот,https://hh.ru/vacancy/37432918?query=data%20scientist, Банк Хоум Кредит,,,
119,Data Engineer,https://hh.ru/vacancy/37333749?query=data%20scientist, ЦИАН ГРУПП,,,
120,Frontend developer,https://hh.ru/vacancy/37908792?query=data%20scientist, The Skolkovo Institute of Science and Technology,,,
121,Middle / Senior Data Scientist,https://hh.ru/vacancy/36313639?query=data%20scientist, Сбербанк для экспертов,,,
122,Ведущий аналитик данных,https://hh.ru/vacancy/37516355?query=data%20scientist,АО Газпромбанк,,,
123,Marketing Manager (B2B/SaaS),https://hh.ru/vacancy/37911878?query=data%20scientist, SegmentStream,,,
124,Инженер по подготовке данных,https://hh.ru/vacancy/37500774?query=data%20scientist,АО Гринатом,,,
125,Data scientist (Центр валидации моделей КИБ),https://hh.ru/vacancy/37809027?query=data%20scientist, Сбербанк для экспертов,,,
126,"Data Scientist/ Machine Learning Engineer/ NLP Developer, SberDevices",https://hh.ru/vacancy/36777585?query=data%20scientist, Сбербанк для экспертов,,,
127,Data Scientist,https://hh.ru/vacancy/37523659?query=data%20scientist,АО Гринатом,,,
128,Руководитель направления дата аналитики/data science,https://hh.ru/vacancy/37812580?query=data%20scientist, ABCstaff,,,
129,Lead / Senior Data Scientist (Predictive analytics),https://hh.ru/vacancy/37105028?query=data%20scientist," ОТП Банк, АО (OTP bank)",,,
130,Data scientist (NLP),https://hh.ru/vacancy/37766560?query=data%20scientist,"ПАО МегаФон, IT",,,
131,Data scientist (Департамент кибербезопасности),https://hh.ru/vacancy/37799309?query=data%20scientist, Сбербанк для экспертов,,,
132,Data Scientist/Senior Data Scientist,https://hh.ru/vacancy/37731417?query=data%20scientist, СИТИЛИНК,,,
133,Senior Data Scientist,https://hh.ru/vacancy/37721142?query=data%20scientist, Сбербанк для экспертов,,,
134,Data Scientist (Middle),https://hh.ru/vacancy/37728972?query=data%20scientist, ANCOR FinTech,,,
135,Data Scientist (Computer Vision),https://hh.ru/vacancy/37741192?query=data%20scientist, Сбербанк для экспертов,,,
